"Journal No.","Conditions of Sale","ISSN","Journal Title","Remarks","Vol.     
Nos","Total no. of Vols","Issues P/A","Rest of World - USD","USA - USD","Canada - USD","Mexico - USD","Subject Area         "
00732,"Oxford","0965-0504","Current Advances in Protein Biochemistry
Also available as part of the CABS Full Set",,"27",1,12,"2900",,,,"Life Sciences"
00739,"Oxford","0965-0512","Current Advances in Toxicology
Also available as part of the CABS Full Set",,"27",1,12,"2900",,,,"Pharmacology, Pharmaceutical Science and Toxicology"
12728,"Oxford","0953-7112","Current Anaesthesia & Critical Care",,"21",1,6,"564",,,,"Medicine"
05572,"Oxford","1567-1739","Current Applied Physics",,"10",1,6,"762",,,,"Physics and Astronomy"
00396,"Oxford",,"Current Awareness in Biological Sciences (CABS) (Full Set)",,"2010",12,144,"17100",,,,"Life Sciences"
02216,"Orlando, FL - Cell Press","0960-9822","Current Biology",,"20",1,24,"1441","1,441","1,441",,"Life Sciences"
02219,"Oxford","0958-1669","Current Opinion in Biotechnology",,"21",1,6,"2459",,,,"Life Sciences"
02220,"Oxford","0955-0674","Current Opinion in Cell Biology",,"22",1,6,"1865",,,,"Life Sciences"
02221,"Oxford","1367-5931","Current Opinion in Chemical Biology",,"14",1,6,"1865",,,,"Chemistry and Chemical Engineering"
02228,"Oxford","1359-0294","Current Opinion in Colloid & Interface Science",,"15",1,6,"2079",,,,"Chemistry and Chemical Engineering"
08672,"Oxford","1877-3435","Current Opinion in Environmental Sustainability","Publication Expansion","2",1,6,"1865",,,,"Agricultural and Biological Sciences"
02222,"Oxford","0959-437X","Current Opinion in Genetics & Development",,"20",1,6,"1865",,,,"Life Sciences"
02223,"Oxford","0952-7915","Current Opinion in Immunology",,"22",1,6,"1865",,,,"Life Sciences"
02224,"Oxford","1369-5274","Current Opinion in Microbiology",,"13",1,6,"1865",,,,"Life Sciences"
02225,"Oxford","0959-4388","Current Opinion in Neurobiology",,"20",1,6,"1779",,,,"Neuroscience"
02277,"Oxford","1471-4892","Current Opinion in Pharmacology",,"10",1,6,"1865",,,,"Pharmacology, Pharmaceutical Science and Toxicology"
02226,"Oxford","1369-5266","Current Opinion in Plant Biology",,"13",1,6,"1865",,,,"Agricultural and Biological Sciences"
02229,"Oxford","1359-0286","Current Opinion in Solid State & Materials Science",,"14",1,6,"1891",,,,"Materials Science"
02227,"Oxford","0959-440X","Current Opinion in Structural Biology",,"20",1,6,"2085",,,,"Life Sciences"
13305,"Orlando, FL","0147-0272","Current Problems in Cancer",,"34",1,6,"336",285,,,"Medicine"
13235,"Orlando, FL","0146-2806","Current Problems in Cardiology",,"35",1,12,"414",348,,,"Medicine"
13077,"Orlando, FL","0363-0188","Current Problems in Diagnostic Radiology",,"39",1,6,"309",264,,,"Medicine"
13250,"Orlando, FL","1538-5442","Current Problems in Pediatric and Adolescent Health Care",,"40",1,10,"313",274,,,"Medicine"
13086,"Orlando, FL","0011-3840","Current Problems in Surgery",,"47",1,12,"399",343,,,"Medicine"
07568,"Oxford","0011-393X","Current Therapeutic Research
Please order from: http://www.CurrentTherapeuticRes.com",,"71",1,6,"200",179,,,"Pharmacology, Pharmaceutical Science and Toxicology"
13445,"Orlando, FL","1877-1297","Currents in Pharmacy Teaching and Learning",,"2",1,4,"525",420,420,420,"Health Professions"
12674,"Oxford","1043-4666","Cytokine",,"49-52",4,12,"1590",,,,"Life Sciences"
00868,"Oxford","1359-6101","Cytokine & Growth Factor Reviews",,"21",1,6,"872",,,,"Life Sciences"
05466,"Oxford","1568-7864","DNA Repair
Also available as part of Mutation Research Full Set",,"9",1,12,"1911",,,,"Life Sciences"
10050,"Jena","1439-4847","Das Neurophysiologie-Labor",,"32",1,4,"196",,,,"Medicine"
05265,"Oxford","0169-023X","Data & Knowledge Engineering",,"69",1,12,"2038",,,,"Computer Science"
05366,"Oxford","0167-9236","Decision Support Systems",,"48-49",2,8,"1308",,,,"Economics, Business and Management"
00489,"Oxford","0967-0637","Deep Sea Research Part I: Oceanographic Research Papers",,"57",1,12,"3215",,,,"Earth and Planetary Sciences"
00216,"Oxford",,"Deep Sea Research Part I: Oceanographic Research Papers with Part II: Topical Studies in Oceanography
Also available as part of the Oceanography Package",,"2010",2,38,"6364",,,,"Earth and Planetary Sciences"
00116,"Oxford","0967-0645","Deep Sea Research Part II: Topical Studies in Oceanography",,"57",1,26,"4271",,,,"Earth and Planetary Sciences"
00117,"Oxford","FS00-0117","Deep Sea Research Parts I and II with Oceanographic Literature Review (Combined Subscription)
Also available as part of the Oceanography Package",,"2010",3,50,"8236",,,,"Earth and Planetary Sciences"
10004,"Jena","1125-7865","Dendrochronologia","Publication Expansion","28",1,4,"277",,,,"Agricultural and Biological Sciences"
13022,"Orlando, FL","0011-8486","Dental Abstracts",,"55",1,6,"275",227,,,"Dentistry"
13004,"Orlando, FL","0011-8532","Dental Clinics of North America",,"54",1,4,"481",382,481,,"Dentistry"
02214,"Oxford","0109-5641","Dental Materials",,"26",1,12,"778",,,,"Dentistry"
10039,"Jena","0044-5169","Der Zoologische Garten (in deutscher Sprache / in German)",,"80",1,6,"319",,,,"Agricultural and Biological Sciences"
13296,"Orlando, FL","0733-8635","Dermatologic Clinics",,"28",1,4,"516",431,516,,"Medicine"
08517,"Oxford","0014-4177","Dermatology and Venereology (Section 13 EMBASE)
Also available as part of the Excerpta Medica Full Set Series",,"87-88",2,12,"4300",,,,"Medicine"
05152,"Oxford","0011-9164","Desalination",,"249-264",16,48,"6848",,,,"Chemistry and Chemical Engineering"
03021,"Oxford","0142-694X","Design Studies",,"31",1,6,"1156",,,,"Engineering, Energy and Technology"
10040,"Jena","0415-6412","Deutsche Zeitschrift fur Akupunktur (in deutscher Sprache / in German)",,"53",1,4,"219",,,,"Medicine"
00275,"Oxford","0145-305X","Developmental & Comparative Immunology
Membership of the International Society of Developmental and Comparative Immunology [www.isdci.org] includes subscription to the journal",,"34",1,12,"2585",,,,"Life Sciences"
12025,"Oxford","0012-1606","Developmental Biology",,"337-348",12,24,"7371",,,,"Life Sciences"
08518,"Oxford","0014-4258","Developmental Biology and Teratology (Section 21 EMBASE)
Also available as part of the Excerpta Medica Full Set Series",,"68-69",2,12,"4500",,,,"Life Sciences"
07594,"Orlando, FL - Cell Press","1534-5807","Developmental Cell",,"18-19",2,12,"1227","1,091","1,091",,"Life Sciences"
05648,"Oxford","1878-9293","Developmental Cognitive Neuroscience",,"1",1,4,,,,,"Neuroscience"
12026,"Oxford","0273-2297","Developmental Review
Reduced personal subscriptions are available to members of the American Psychological Association, Association for Psychological Science, Society for Research in Child Development and the European Society for Developmental Psychology. Please contact your nearest regional sales office for details.",,"30",1,4,"518",,,,"Social and Behavioral Sciences"
04250,"Oxford","1871-4021","Diabetes & Metabolic Syndrome: Clinical Research & Reviews",,"4",1,4,"183",,,,"Medicine"
15535,"Paris","1262-3636","Diabetes & Metabolism",,"36",1,6,"479",,,,"Life Sciences"
08012,"Oxford","0168-8227","Diabetes Research and Clinical Practice",,"87-90",4,12,"2921",,,,"Medicine"
12714,"Oxford","1756-2317","Diagnostic Histopathology",,"16",1,12,"623",,,,"Medicine"
07639,"Orlando, FL","0732-8893","Diagnostic Microbiology and Infectious Disease",,"66-68",3,12,"1997","1,794",,,"Life Sciences"
,"Oxford","1886-2845","Dialisis y Trasplante",,"31",1,4,,,,,"Multidiscipline"
06006,"Oxford","0925-9635","Diamond and Related Materials",,"19",1,12,"3094",,,,"Materials Science"
05266,"Oxford","0926-2245","Differential Geometry and its Applications",,"28",1,6,"727",,,,"Mathematics"
08664,"Oxford","0301-4681","Differentiation",,"79-80",2,10,"2250",,,,"Life Sciences"
12918,"Oxford","1590-8658","Digestive and Liver Disease",,"42",1,12,"476",,,,"Medicine"
04064,"Oxford","1742-2876","Digital Investigation",,"7",1,4,"841",,,,"Computer Science"
12027,"Oxford","1051-2004","Digital Signal Processing",,"20",1,6,"543",,,,"Computer Science"
13428,"Orlando, FL","1936-6574","Disability and Health Journal",,"3",1,4,"643",555,555,,"Medicine"
05267,"Oxford","0166-218X","Discrete Applied Mathematics
Electronic access to Electronic Notes in Discrete Mathematics (ENDM) included",,"158",1,18,"3840",,,,"Mathematics"
05268,"Oxford","0012-365X","Discrete Mathematics
Electronic access to Electronic Notes in Discrete Mathematics (ENDM) is included in the subscription",,"310",1,24,"6323",,,,"Mathematics"
05269,"Oxford",,"Discrete Mathematics with Discrete Applied Mathematics (Combined Subscription)",,"2010",2,42,"9094",,,,"Mathematics"
05497,"Oxford","1572-5286","Discrete Optimization",,"7",1,4,"613",,,,"Mathematics"
13237,"Orlando, FL","0011-5029","Disease-A-Month",,"56",1,12,"369",323,,,"Medicine"
05270,"Oxford","0141-9382","Displays",,"31",1,5,"879",,,,"Computer Science"
07637,"Orlando, FL","0739-7240","Domestic Animal Endocrinology",,"38-39",2,8,"964",850,,,"Agricultural and Biological Sciences"
15538,"Paris","1624-5687","Douleurs",,"11",1,6,"290",,,,"Life Sciences"
15838,"Paris","1629-6583","Droit, deontologie et soin",,"10",1,4,"270",,,,"Life Sciences"
08519,"Oxford","0925-5958","Drug Dependence, Alcohol Abuse and Alcoholism (Section 40 EMBASE)
Also available as part of the Excerpta Medica Full Set Series",,"38",1,6,"2500",,,,"Medicine"
02168,"Oxford","1359-6446","Drug Discovery Today",,"15",1,24,"3492",,,,"Life Sciences"
02292,"Oxford","1740-6765","Drug Discovery Today: Disease Mechanisms
Only available online",,"7",1,4,"2550",,,,"Life Sciences"
02293,"Oxford","1740-6757","Drug Discovery Today: Disease Models
Only available online",,"7",1,4,"2550",,,,"Life Sciences"
02294,"Oxford","1740-6749","Drug Discovery Today: Technologies
Only available online",,"7",1,4,"2634",,,,"Life Sciences"
02295,"Oxford","1740-6773","Drug Discovery Today: Therapeutic Strategies
Only available online",,"7",1,4,"2550",,,,"Life Sciences"
12758,"Oxford","1368-7646","Drug Resistance Updates",,"13",1,6,"524",,,,"Medicine"
08013,"Oxford","0376-8716","Drug and Alcohol Dependence",,"106-112",7,21,"2830",,,,"Medicine"
02020,"Oxford","0143-7208","Dyes and Pigments",,"84-87",4,12,"3184",,,,"Chemistry and Chemical Engineering"
05327,"Oxford","0377-0265","Dynamics of Atmospheres and Oceans",,"49-50",2,6,"1474",,,,"Earth and Planetary Sciences"
12656,"Oxford","0748-7983","EJSO - European Journal of Surgical Oncology",,"36",1,12,"765",,,,"Medicine"
13015,"Orlando, FL","1081-4507","EMS Insider",,"37",1,12,"260",225,250,,"Medicine"
07453,"Oxford","0885-2006","Early Childhood Research Quarterly",,"25",1,4,"447",,,,"Social and Behavioral Sciences"
08014,"Oxford","0378-3782","Early Human Development",,"86",1,12,"2158",,,,"Medicine"
05328,"Oxford","0012-821X","Earth and Planetary Science Letters",,"289-300",12,48,"4886",,,,"Earth and Planetary Sciences"
05329,"Oxford","0012-8252","Earth-Science Reviews",,"98-103",6,24,"1933",,,,"Earth and Planetary Sciences"
02270,"Oxford","1471-0153","Eating Behaviors",,"11",1,4,"561",,,,"Social and Behavioral Sciences"
02082,"Oxford","0305-196X","Ecological Abstracts
Also available as part of the Geo Abstract Full Set Series",,"37",1,12,"4100",,,,"Environmental Sciences"
05494,"Oxford","1476-945X","Ecological Complexity
Also available as part of Quantitative Ecology Combined Set",,"7",1,4,"529",,,,"Environmental Sciences"
05100,"Oxford","0921-8009","Ecological Economics
To subscribe as an ISEE member contact the society at http://www.ecoeco.org",,"69",1,12,"2104",,,,"Environmental Sciences"
05101,"Oxford","0925-8574","Ecological Engineering
To subscribe as an IEES member contact the society at http://www.iees.ch 
To subscribe as an AEES member contact the society at http://aeesociety.org/",,"36",1,12,"1205",,,,"Environmental Sciences"
02273,"Oxford","1470-160X","Ecological Indicators
Also available as part of Quantitative Ecology Combined Set",,"10",1,6,"569",,,,"Environmental Sciences"
05508,"Oxford","1574-9541","Ecological Informatics",,"5",1,6,"520",,,,"Environmental Sciences"
05102,"Oxford","0304-3800","Ecological Modelling
Also available as part of Quantitative Ecology Combined Set.",,"221",1,24,"5034",,,,"Environmental Sciences"
03023,"Oxford","0264-9993","Economic Modelling",,"27",1,6,"1098",,,,"Economics, Business and Management"
05568,"Oxford","0939-3625","Economic Systems",,"34",1,4,"393",,,,"Economics, Business and Management"
05475,"Oxford","1570-677X","Economics & Human Biology",,"8",1,3,"477",,,,"Economics, Business and Management"
06007,"Oxford","0165-1765","Economics Letters",,"106-109",4,12,"2637",,,,"Economics, Business and Management"
00743,"Oxford","0272-7757","Economics of Education Review",,"29",1,6,"996",,,,"Social and Behavioral Sciences"
12030,"Oxford","0147-6513","Ecotoxicology and Environmental Safety",,"73",1,8,"1325",,,,"Environmental Sciences"
04233,"Oxford","1747-938X","Educational Research Review",,"5",1,3,"200",,,,"Social and Behavioral Sciences"
03024,"Oxford","0261-3794","Electoral Studies",,"29",1,4,"997",,,,"Social and Behavioral Sciences"
06008,"Oxford","0378-7796","Electric Power Systems Research",,"80",1,12,"3425",,,,"Engineering, Energy and Technology"
06053,"Oxford","1388-2481","Electrochemistry Communications",,"12",1,12,"855",,,,"Chemistry and Chemical Engineering"
00205,"Oxford","0013-4686","Electrochimica Acta",,"55",1,28,"5689",,,,"Chemistry and Chemical Engineering"
05571,"Oxford","1567-4223","Electronic Commerce Research and Applications
Quarterly electronic publication; yearly archival print volume in December",,"9",1,6,"478",,,,"Computer Science"
13211,"Orlando, FL","0733-8627","Emergency Medicine Clinics of North America",,"28",1,4,"499",414,499,,"Medicine"
05556,"Oxford","1566-0141","Emerging Markets Review",,"11",1,4,"275",,,,"Economics, Business and Management"
04294,"Oxford","1755-4586","Emotion, Space and Society",,"3",1,2,"226",,,,"Social and Behavioral Sciences"
00574,"Oxford","0160-9327","Endeavour",,"34",1,4,"671",,,,"Arts and Humanities"
15719,"Oxford","1575-0922","Endocrinologia y Nutricion",,"57",1,10,,,,,"Multidiscipline"
13212,"Orlando, FL","0889-8529","Endocrinology & Metabolism Clinics of North America",,"39",1,4,"560",457,560,,"Medicine"
08520,"Oxford","0014-407X","Endocrinology (Section 3 EMBASE)
Also available as part of the Excerpta Medica Full Set Series",,"129-131",3,24,"5600",,,,"Life Sciences"
00483,"Oxford","0360-5442","Energy",,"35",1,12,"2897",,,,"Engineering, Energy and Technology"
00269,"Oxford","0196-8904","Energy Conversion and Management",,"51",1,12,"4709",,,,"Engineering, Energy and Technology"
03025,"Oxford","0140-9883","Energy Economics",,"32",1,6,"1224",,,,"Economics, Business and Management"
03026,"Oxford","0301-4215","Energy Policy",,"38",1,12,"2297",,,,"Engineering, Energy and Technology"
06009,"Oxford","0378-7788","Energy and Buildings",,"42",1,12,"2017",,,,"Engineering, Energy and Technology"
07817,"Oxford","0973-0826","Energy for Sustainable Development",,"14",1,4,"419",,,,"Engineering, Energy and Technology"
15722,"Oxford","0213-005X","Enfermedades Infecciosas y Microbiologia Clinica",,"28",1,10,,,,,"Multidiscipline"
15709,"Oxford","1130-8621","Enfermeria Clinica",,"20",1,6,,,,,"Multidiscipline"
,"Oxford","1130-2399","Enfermeria Intensiva",,"21",1,4,,,,,"Multidiscipline"
02021,"Oxford","0955-7997","Engineering Analysis with Boundary Elements",,"34",1,12,"2527",,,,"Engineering, Energy and Technology"
00975,"Oxford","0952-1976","Engineering Applications of Artificial Intelligence",,"23",1,8,"1569",,,,"Engineering, Energy and Technology"
00139,"Oxford","1350-6307","Engineering Failure Analysis",,"17",1,8,"919",,,,"Engineering, Energy and Technology"
00322,"Oxford","0013-7944","Engineering Fracture Mechanics",,"77",1,18,"5404",,,,"Engineering, Energy and Technology"
05330,"Oxford","0013-7952","Engineering Geology",,"110-116",7,28,"2372",,,,"Earth and Planetary Sciences"
03027,"Oxford","0141-0296","Engineering Structures",,"32",1,12,"2823",,,,"Engineering, Energy and Technology"
00682,"Oxford","0889-4906","English for Specific Purposes",,"29",1,4,"673",,,,"Social and Behavioral Sciences"
00681,"Oxford",,"English for Specific Purposes with Journal of English for Academic Purposes (Combined Subscription)",,"2010",2,8,"1073",,,,"Social and Behavioral Sciences"
08654,"Oxford","1875-9521","Entertainment Computing",,"2",1,4,"520",,,,"Computer Science"
00326,"Oxford","0160-4120","Environment International",,"36",1,8,"1900",,,,"Environmental Sciences"
08521,"Oxford","0300-5194","Environmental Health and Pollution Control (Section 46 EMBASE)
Also available as part of the Excerpta Medica Full Set Series",,"60-61",2,16,"5700",,,,"Medicine"
07643,"Oxford","0195-9255","Environmental Impact Assessment Review",,"30",1,6,"919",,,,"Environmental Sciences"
02023,"Oxford","1364-8152","Environmental Modelling & Software
To subscribe as an iEMSsmember contact the society at http://www.iemss.org
To subscribe as a MSSANZ member contact the society at http://cres.anu.edu.au/~tony/mssanz.htm",,"25",1,12,"1437",,,,"Environmental Sciences"
02022,"Oxford","0269-7491","Environmental Pollution
Also available as part of the Environmental Science Package - Option 1
To subscribe as a SETAC member contact the society at http://www.setac.org",,"158",1,12,"5169",,,,"Environmental Sciences"
12035,"Oxford","0013-9351","Environmental Research",,"110",1,8,"2594",,,,"Environmental Sciences"
12304,"Oxford",,"Environmental Research with Ecotoxicology and Environmental Safety (Combined Subscription)",,"2010",2,16,"2688",,,,"Environmental Sciences"
01031,"Oxford","1462-9011","Environmental Science & Policy",,"13",1,8,"941",,,,"Environmental Sciences"
00137,"Oxford",,"Environmental Science Package - Option 1
Comprising: 
Atmospheric Environment
Environmental Pollution
Marine Pollution Bulletin
Water Research",,"2010",5,96,"17018",,,,"Environmental Sciences"
00173,"Oxford",,"Environmental Science Package - Option 2
Comprising: 
Atmospheric Environment
Chemosphere 
Environmental Pollution
The Science of the Total Environment
Water Research",,"2010",8,140,"26525",,,,"Environmental Sciences"
05432,"Oxford","1382-6689","Environmental Toxicology and Pharmacology",,"29-30",2,6,"1725",,,,"Pharmacology, Pharmaceutical Science and Toxicology"
00267,"Oxford","0098-8472","Environmental and Experimental Botany",,"67-69",3,9,"1242",,,,"Agricultural and Biological Sciences"
07644,"Oxford","0141-0229","Enzyme and Microbial Technology",,"46-47",2,14,"3294",,,,"Life Sciences"
08640,"Oxford","1755-4365","Epidemics",,"2",1,4,"838",,,,"Life Sciences"
12876,"Oxford","1525-5050","Epilepsy & Behavior",,"17-19",3,12,"1034",,,,"Neuroscience"
08522,"Oxford","0031-0743","Epilepsy Abstracts (Section 50 EMBASE)
Also available as part of the Excerpta Medica Full Set Series",,"43",1,6,"2000",,,,"Neuroscience"
05029,"Oxford","0920-1211","Epilepsy Research",,"88-92",5,15,"3572",,,,"Neuroscience"
12641,"Oxford","0272-7714","Estuarine, Coastal and Shelf Science",,"86-90",5,20,"3004",,,,"Earth and Planetary Sciences"
15541,"Paris","1765-4629","Ethique et Sante",,"7",1,4,"209",,,,"Life Sciences"
05368,"Oxford","0014-2921","European Economic Review",,"54",1,8,"1764",,,,"Economics, Business and Management"
15865,"Oxford",,"European Geriatric Medicine","New","1",1,6,"381",,,,"Social and Behavioral Sciences"
05444,"Oxford","1161-0301","European Journal of Agronomy",,"32-33",2,8,"966",,,,"Agricultural and Biological Sciences"
00104,"Oxford","0959-8049","European Journal of Cancer
All EJC subscribers also receive the journal EJC Supplements at no charge",,"46",1,18,"3573",,,,"Medicine"
00298,"Oxford",,"European Journal of Cancer with Oral Oncology (Combined Subscription)",,"2010",1,30,"4396",,,,"Medicine"
05440,"Oxford","1010-7940","European Journal of Cardio-Thoracic Surgery",,"37-38",2,12,"843",,,,"Medicine"
05438,"Oxford","1474-5151","European Journal of Cardiovascular Nursing",,"9",1,4,"329",,,,"Medicine"
10005,"Jena","0171-9335","European Journal of Cell Biology",,"89",1,12,"1980",,,,"Life Sciences"
12636,"Oxford","0195-6698","European Journal of Combinatorics",,"31",1,8,"1349",,,,"Mathematics"
10062,"Jena","1876-3820","European Journal of Integrative Medicine",,,,,"856",,,,"Medicine"
05551,"Oxford","0953-6205","European Journal of Internal Medicine",,"21",1,6,"421",,,,"Medicine"
09097,"Oxford",,"European Journal of Mechanics - A/B (Combined Subscription)",,"2010",2,12,"1599",,,,"Engineering, Energy and Technology"
09030,"Oxford","0997-7538","European Journal of Mechanics - A/Solids",,"29",1,6,"958",,,,"Engineering, Energy and Technology"
09031,"Oxford","0997-7546","European Journal of Mechanics - B/Fluids",,"29",1,6,"818",,,,"Engineering, Energy and Technology"
09081,"Oxford","1769-7212","European Journal of Medical Genetics",,"53",1,6,"618",,,,"Life Sciences"
09032,"Oxford","0223-5234","European Journal of Medicinal Chemistry",,"45",1,12,"1172",,,,"Chemistry and Chemical Engineering"
08018,"Oxford","0301-2115","European Journal of Obstetrics & Gynecology and Reproductive Biology",,"148-153",6,12,"3694",,,,"Medicine"
12746,"Oxford","1462-3889","European Journal of Oncology Nursing",,"14",1,5,"470",,,,"Nursing"
05369,"Oxford","0377-2217","European Journal of Operational Research",,"200-207",8,24,"6103",,,,"Economics, Business and Management"
12707,"Oxford","1090-3798","European Journal of Paediatric Neurology",,"14",1,6,"486",,,,"Neuroscience"
12706,"Oxford","1090-3801","European Journal of Pain",,"14",1,10,"572",,,,"Medicine"
05030,"Oxford","0928-0987","European Journal of Pharmaceutical Sciences",,"39-41",3,15,"1308",,,,"Pharmacology, Pharmaceutical Science and Toxicology"
05446,"Oxford","0939-6411","European Journal of Pharmaceutics and Biopharmaceutics",,"74-76",3,9,"1073",,,,"Pharmacology, Pharmaceutical Science and Toxicology"
05031,"Oxford","0014-2999","European Journal of Pharmacology
Also available as part of the Pharmacology Package - Option 2",,"626-649",24,72,"12715",,,,"Pharmacology, Pharmaceutical Science and Toxicology"
05370,"Oxford","0176-2680","European Journal of Political Economy",,"26",1,4,"918",,,,"Economics, Business and Management"
10028,"Jena","0932-4739","European Journal of Protistology",,"46",1,4,"773",,,,"Environmental Sciences"
04296,"Oxford","1756-1175","European Journal of Radiography",,"2",1,4,"616",,,,"Medicine"
08019,"Oxford","0720-048X","European Journal of Radiology",,"73-76",4,12,"2271",,,,"Medicine"
04055,"Oxford","1571-4675","European Journal of Radiology Extra",,"73-76",4,12,,,,,"Medicine"
09033,"Oxford","1164-5563","European Journal of Soil Biology",,"46",1,6,"393",,,,"Agricultural and Biological Sciences"
12672,"Oxford","1078-5884","European Journal of Vascular and Endovascular Surgery",,"39-40",2,12,"1296",,,,"Medicine"
12999,"Oxford","1533-3167","European Journal of Vascular and Endovascular Surgery Extra",,"19-20",2,12,,,,,"Medicine"
00115,"Oxford","0263-2373","European Management Journal",,"28",1,6,"943",,,,"Economics, Business and Management"
05033,"Oxford","0924-977X","European Neuropsychopharmacology",,"20",1,12,"1504",,,,"Pharmacology, Pharmaceutical Science and Toxicology"
00294,"Oxford","0014-3057","European Polymer Journal",,"46",1,12,"4560",,,,"Materials Science"
09034,"Paris","0924-9338","European Psychiatry",,"25",1,8,"896",,,,"Medicine"
05436,"Oxford","0302-2838","European Urology",,"57-58",2,12,"3971",,,,"Medicine"
00593,"Oxford","0149-7189","Evaluation and Program Planning

Discounted subscription rates are available to the members of the American Evaluation Association, the Eastern Evaluation Research Society and the African Evaluation Association (AFEA). For more information please contact your regional sales office.",,"33",1,4,"1007",,,,"Social and Behavioral Sciences"
07645,"Orlando, FL","1090-5138","Evolution and Human Behavior",,"31",1,6,"1303","1,150",,,"Social and Behavioral Sciences"
08549,"Oxford","0921-822X","Excerpta Medica Full Set Series",,"2010",94,774,"87300",,,,"Life Sciences"
12028,"Oxford","0014-4827","Experimental Cell Research",,"316",1,20,"6161",,,,"Life Sciences"
12605,"Oxford","0014-4835","Experimental Eye Research",,"90-91",2,12,"3033",,,,"Life Sciences"
07530,"Oxford","0531-5565","Experimental Gerontology",,"45",1,12,"2212",,,,"Life Sciences"
07655,"Orlando, FL","0301-472X","Experimental Hematology","Publication Expansion","38",1,12,"917",872,,,"Medicine"
12032,"Oxford","0014-4886","Experimental Neurology",,"221-226",6,12,"3455",,,,"Neuroscience"
12034,"Oxford","0014-4894","Experimental Parasitology",,"124-126",3,12,"1559",,,,"Life Sciences"
07646,"Oxford","0894-1777","Experimental Thermal and Fluid Science",,"34",1,8,"1652",,,,"Chemistry and Chemical Engineering"
12031,"Oxford","0014-4800","Experimental and Molecular Pathology",,"88-89",2,6,"1246",,,,"Life Sciences"
10007,"Jena","0940-2993","Experimental and Toxicologic Pathology",,"62",1,6,"1032",,,,"Medicine"
00939,"Oxford","0957-4174","Expert Systems with Applications",,"37",1,12,"2994",,,,"Computer Science"
12029,"Oxford","0014-4983","Explorations in Economic History",,"47",1,4,"599",,,,"Economics, Business and Management"
13364,"Orlando, FL","1550-8307","Explore: The Journal of Science & Healing",,"6",1,6,"258",195,,,"Health Professions"
10031,"Jena","0723-0869","Expositiones Mathematicae",,"28",1,4,"423",,,,"Mathematics"
05034,"Oxford","0014-5793","FEBS Letters",,"584",1,24,"6146",,,,"Life Sciences"
,"Oxford","1134-2072","FMC - Formacion Medica Continuada en Atencion Primaria",,"17",1,10,,,,,"Multidiscipline"
13060,"Orlando, FL","1064-7406","Facial Plastic Surgery Clinics of North America",,"18",1,4,"524",437,524,,"Medicine"
13195,"Rockville, MD","0300-7073","Family Practice News",,"40",1,24,"279",139,278,,"Medicine"
15718,"Oxford","1130-6343","Farmacia Hospitalaria",,,,,,,,,"Multidiscipline"
07647,"Orlando, FL","0015-0282","Fertility and Sterility(R)",,"93-94",2,12,"840",600,,,"Medicine"
15542,"Paris","0181-9801","Feuillets de Radiologie",,"50",1,6,"360",,,,"Life Sciences"
05104,"Oxford","0378-4290","Field Crops Research",,"115-119",5,15,"2763",,,,"Agricultural and Biological Sciences"
04236,"Oxford","1468-1641","Field Mycology",,"11",1,4,"85",,,,"Life Sciences"
02207,"Oxford","1365-6937","Filtration Industry Analyst",,"2010",1,12,"1256",,,,"Chemistry and Chemical Engineering"
02127,"Oxford","0015-1882","Filtration+Separation",,"47",1,10,"432",,,,"Chemistry and Chemical Engineering"
13350,"Oxford","1544-6123","Finance Research Letters",,"7",1,4,"523",,,,"Economics, Business and Management"
05272,"Oxford","0168-874X","Finite Elements in Analysis and Design",,"46",1,12,"2004",,,,"Engineering, Energy and Technology"
12037,"Oxford","1071-5797","Finite Fields and Their Applications",,"16",1,6,"481",,,,"Mathematics"
02024,"Oxford","0379-7112","Fire Safety Journal",,"45",1,8,"1726",,,,"Engineering, Energy and Technology"
13014,"San Diego, CA","1094-0529","FireRescue Magazine",,"28",1,12,"76.95",42,67,,"Medicine"
12683,"Oxford","1050-4648","Fish and Shellfish Immunology",,"28-29",2,12,"970",,,,"Agricultural and Biological Sciences"
05105,"Oxford","0165-7836","Fisheries Research",,"101-106",6,18,"2660",,,,"Agricultural and Biological Sciences"
15713,"Oxford","0211-5638","Fisioterapia",,"32",1,6,,,,,"Multidiscipline"
05549,"Oxford","0367-326X","Fitoterapia",,"81",1,8,"366",,,,"Pharmacology, Pharmaceutical Science and Toxicology"
10032,"Jena","0367-2530","Flora","Publication Expansion","205",1,12,"983",,,,"Agricultural and Biological Sciences"
03029,"Oxford","0955-5986","Flow Measurement and Instrumentation",,"21",1,4,"1071",,,,"Engineering, Energy and Technology"
02077,"Oxford","0962-7170","Fluid Abstracts: Civil Engineering",,"20",1,12,"2870",,,,"Chemistry and Chemical Engineering"
02078,"Oxford","0962-7162","Fluid Abstracts: Process Engineering",,"20",1,12,"2870",,,,"Chemistry and Chemical Engineering"
05153,"Oxford","0378-3812","Fluid Phase Equilibria",,"287-298",12,24,"7053",,,,"Chemistry and Chemical Engineering"
04013,"Oxford","1351-4180","Focus on Catalysts",,"2010",1,12,"1180",,,,"Chemistry and Chemical Engineering"
04011,"Oxford","0969-6210","Focus on Pigments",,"2010",1,12,"1180",,,,"Chemistry and Chemical Engineering"
